room_price,room_commonFee,room_initialFeeText,room_initialOtherFeeText,building_year,room_layoutText,room_facing,room_area,room_detailText,building_structure,room_parking,room_tatalRooms,room_contract,room_period,room_renewalFeeText,room_otherFeeText,room_guarantyText,room_insuranceText,room_manage,room_state,room_move-in,room_lifullID,room_trans,room_begin,room_update,room_url
12.4万円,"8,000円",1ヶ月/無,-/1ヶ月,2016年3月(築9年),1K,西,24.1㎡,角部屋、ガスコンロ設置済、コンロ二口、食器洗い乾燥機、給湯、バス・トイレ別、追焚機能、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、TVモニタ付インターホン、エアコン、全居室収納、CATV、光ファイバー、都市ガス、フローリング、室内洗濯機置場、全室フローリング、ごみ出し24時間OK、宅配ボックス、駐輪場あり、こちらの物件は、来店不要対応物件です。チャットでの相談や、オンラインでの内見に対応しています。また、IT重説を取り入れておりますので、契約までも全て来店不要で完結出来ます。詳細はお問い合わせください。,RC(鉄筋コンクリート),-,-,-,2年間,新賃料の1ヶ月分,"仲介手数料：賃料1ヶ月分に対する110％、鍵交換費用：25,300円",加入要保証会社：その他保証会社利用料：0.50ヶ月 初回保証料：総賃料の50％　年間更新料10000円,要,-,空家,2024年04月 中旬,0105441-0171776,仲介,2024/03/20,2024/03/20,https://www.homes.co.jp/chintai/room/7d2fc16593718fe6bb8218d296d1fd6857dbb9b4/
11.9万円,"8,000円",1ヶ月/1ヶ月,-/1ヶ月,2016年3月(築9年),ワンルーム,北西,23.48㎡,角部屋、保証人不要、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、浴室乾燥機、洗面所独立、オートロック、エアコン、シューズボックス、インターネット対応、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、宅配ボックス、初期費用カード決済可、入居サポート料18700円/2年間。鍵25300円。1年未満の解約は違約金総賃料の1か月分。禁煙住戸になります。,RC(鉄筋コンクリート),-,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：25,300円、入居者サポート料：18,700円",加入要保証会社：その他保証会社利用料：初回保証料総賃料50％、年間保証料14000円、口座引き落とし手数料440円。,要,-,居住中,相談,0145885-0027508,仲介,2024/03/16,2024/03/20,https://www.homes.co.jp/chintai/room/fe1de1c7e0b20aa38447084dc144dfd5441f64dc/
11.9万円,"8,000円",1ヶ月/1ヶ月,-/-,2016年3月(築9年),1K,北西,23.48㎡,角部屋、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、インターネット対応、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、室内洗濯機置場、テラス、照明器具付き、宅配ボックス、駐輪場あり、初期費用カード決済可、豊島区、文京区、板橋区、北区のお部屋探しはタウンハウジング巣鴨店へお任せください。巣鴨駅を中心にシングルタイプ〜ファミリータイプの物件、さらにはSOHOや事務所、店舗まで幅広いニーズにお応えいたします。法人契約、UR住宅、都民住宅など、なんでもご相談ください。新築物件やデザイナーズ物件、分譲賃貸マンション、ペット可、楽器可物件などのこだわりのお部屋探しもお任せください。ご来店お待ちしております。,RC(鉄筋コンクリート),-,-,-,2年間,新賃料の1ヶ月分,"入居者サポート料：18,700円",加入要保証会社：その他保証会社利用料：保証人代行会社 BeansTrust賃貸保証料 50％保証人代行詳細 初回保証料月額総支払額の50％年間保証料15、000円 引き落とし手数料：400円＋税,要,-,居住中,相談,0140060-0057327,仲介,2024/02/26,2024/03/20,https://www.homes.co.jp/chintai/room/e8cf171a07230ea438ddb79320e7facd122c9d5a/
11万円,"15,000円",無/1ヶ月,-/-,2018年9月(築6年),1K ( 洋室 8.3帖 ),北,25.45㎡,角部屋、ペット相談、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、TVモニタ付インターホン、ディンプルキー、エアコン、クローゼット、シューズボックス、CS対応、BS対応、光ファイバー、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、24時間換気システム、タイル貼り、エレベーター、宅配ボックス、駐輪場あり、初期費用カード決済可、デザイナーズ、24時間サポート：22000円　鍵交換代：27500円　保険料：20000円　契約事務手数料：11000円　ペット飼育時（小型犬）敷金1ヶ月分（猫）敷金2ヶ月分増額　更新時事務手数料：22000円　1年未満の解約は総賃料の1ヶ月分の違約金あり,RC(鉄筋コンクリート),-,-,-,2年間,新賃料の1ヶ月分,-,加入要保証会社：その他保証会社利用料：初回総賃料の0.5ヶ月。月額保証料：800円,要,-,居住中,2024年04月 中旬,0150753-0005352,一般媒介,2024/03/07,2024/03/20,https://www.homes.co.jp/chintai/room/5f20ef451d2b73869ba0a8482b72aa822e371963/
11.1万円,"15,000円",1ヶ月/1ヶ月,-/1ヶ月,2016年2月(築9年),1K ( 洋室 7帖 ),西,25.08㎡,楽器不可、事務所不可、二人入居可、ペット可、ルームシェア可、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、セキュリティ会社加入済、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、全居室収納、クローゼット、シューズボックス、CS対応、BS対応、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、バルコニー、フリーアクセス、室内洗濯機置場、24時間換気システム、全室フローリング、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、デザイナーズ、分譲賃貸、住まい探し特典あり、口座引落手数料/月:660円 当店は都内を中心に20000戸以上の管理物件を保有する株式会社アンビショングループの直営店です。ペット飼育可能物件や、ネット使用料無料物件・敷金礼金0ヶ月物件海外審査相談物件のお問合わせは、アンビション・エージェンシー新宿東口店へ。女性スタッフ対応可能ペット飼育時：1匹の場合共益費+3500円追加、2匹の場合共益費+3500円追加及び敷金1ヶ月追加(償却) 1年未満…,RC(鉄筋コンクリート),無,28戸,-,2年間,新賃料の1.5ヶ月分,"鍵交換費用：22,000円、室内清掃費用：55,000円、入居中サポート料：21,450円、事務手数料：11,000円、室内抗菌処理代：17,600円",加入要保証会社：その他保証会社利用料：初回保証料:総賃料の50%／年間更新料10、000円／ルームバンクインシュア,要,管理員：巡回,居住中,2024年03月 中旬,0149984-0019016,仲介,2024/03/15,2024/03/20,https://www.homes.co.jp/chintai/room/1602fc32d1a723b18efeeca56ccde783fb533bba/
8.3万円,"3,200円",1ヶ月/1ヶ月,-/-,2015年4月(築9年),"1K ( キッチン
洋室 )",-,25.9㎡,保証人要、IHコンロ、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、TVモニタ付インターホン、エアコン、ウォークインクローゼット、クローゼット、CATV、光ファイバー、公営水道、都市ガス、下水、フローリング、室内洗濯機置場、照明器具付き、24時間換気システム、全室フローリング、駐輪場あり、初期費用カード決済可、デザイナーズ、住まい探し特典あり、当物件はご予約の上ご来店いただきましたお客様限定でクレジット決済可能です。退去時室内清掃および原状回復費用は借主負担です。バス・トイレ・洗面台セパレートで浴室乾燥機や温水洗浄便座など水回り設備充実。,木造,"近隣 25,000円(税込) 物件からの距離500m",-,-,2年間,-,"鍵交換費用：22,000円、室内清掃費用：55,000円、24Hサポート：9,900円、駐輪場利用2年：2,200円、口座振替手数料　月額：440円",加入要保証会社：詳細はお問い合わせください。保証会社利用料：初回保証料　賃料+管理費（共益費）等50％　/　1年毎に継続保証料10、000円,要,-,居住中,2024年05月 上旬,0108440-0073682,仲介,2024/02/12,2024/03/18,https://www.homes.co.jp/chintai/room/541f61896fa0cb213369e4740708e4ec68cf8bc2/
7.7万円,"3,000円",無/無,-/-,2018年6月(築6年),ワンルーム ( 洋室 7.1帖(3階) ),南東,16.68㎡,IHコンロ、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、TVモニタ付インターホン、エアコン、クローゼット、公営水道、都市ガス、下水、フローリング、室内洗濯機置場、照明器具付き、住まい探し特典あり、定期借家2年（再契約料：新賃料の1ヶ月分）。　解約予告2ヶ月前。　1年未満解約時、賃料1ヶ月分の違約金あり。,木造,-,-,定期借家,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円、預かりクリーニング費用：55,000円、24時間サポート：9,900円",加入要保証会社利用料：　初回保証料：総賃料の50％、引落手数料　円、更新時1万円／年,要,-,居住中,2024年05月 上旬,0132267-0176774,仲介,2024/03/07,2024/03/20,https://www.homes.co.jp/chintai/room/0852df528693dcb0ea07d8d6746c4a3217470786/
12.9万円,"12,000円",1ヶ月/1ヶ月,-/-,2022年2月(築3年),"1LDK ( 洋室 5帖
リビングダイニングキッチン 9帖 )",南,34.29㎡,保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、CS対応、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、照明器具付き、南面バルコニー、エレベーター、ごみ出し24時間OK、宅配ボックス、駐輪場あり、初期費用カード決済可,RC(鉄筋コンクリート),無,45戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円、ホームマイスター24　　／　　　　2年間：13,200円",加入要保証会社：その他保証会社利用料：日本賃貸保証 初回賃料、共益費の50％　1年毎　10，000円　口座振替手数料　330円税込,要,-,空家,2024年03月 中旬,0150255-0000466,仲介,2024/03/11,2024/03/20,https://www.homes.co.jp/chintai/room/b60c67e7cdd3ab42d185d47de0c324b8e9cdd3e4/
12.5万円,"12,000円",1ヶ月/1ヶ月,-/-,2022年2月(築3年),"1LDK ( 洋室 4.7帖
リビングダイニングキッチン 9.1帖 )",南東,34.45㎡,ガスコンロ設置済、コンロ二口、システムキッチン、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、オートロック、防犯カメラ、TVモニタ付インターホン、公営水道、都市ガス、下水、バルコニー、エレベーター、ごみ出し24時間OK、宅配ボックス、住まい探し特典あり、鍵交換代22000円家財保険17000円初回保証料50%以後1年毎10000円ホームマイスター13200円,RC(鉄筋コンクリート),無,-,-,-,-,-,-,要,-,空家,相談,0149630-0053016,仲介,2024/03/17,2024/03/20,https://www.homes.co.jp/chintai/room/503dc16ca712e0a5b4079b04cf725a2da21541c0/
10万円,"5,000円",1ヶ月/1ヶ月,-/-,2011年7月(築13年),"1K ( キッチン 3.9帖
洋室 7帖 )",北西,33.6㎡,角部屋、楽器不可、単身者限定、ペット不可、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、浴室暖房、オートロック、TVモニタ付インターホン、ディンプルキー、エアコン、ウォークインクローゼット、クローゼット、シューズボックス、BS対応、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、24時間換気システム、室内洗濯物干し、複層ガラス・複層サッシ、耐震構造、駐輪場あり、初期費用カード決済可、住まい探し特典あり、信頼の住宅ブランド旭化成ヘーベルメゾン　オートロック　1フロア2世帯　光ファイバー対応　最上階・角部屋3面採光　システムキッチン　浴室追焚き　浴室乾燥機　独立洗面台　当社は旭化成へーベルメゾンのお申込み窓口です　お問い合わせ・諸条件のご相談などお気軽にどうぞ,ALC造,無,6戸,-,2年間,新賃料の1ヶ月分,"仲介手数料：110,000円、鍵交換費用：30,800円、クリーニング費用（退去時）：44,000円、マイコンシェル倶楽部2年分：15,000円",加入要保証会社：旭化成不動産サポート保証会社利用料：保証料：初回月額賃料等の50％／2年毎に20，000円,要,-,居住中,2024年04月 中旬,0131820-0018814,専任媒介,2024/03/10,2024/03/20,https://www.homes.co.jp/chintai/room/3d6316b6cfe39fa160118a9e42705ba89d932dce/
