room_price,room_commonFee,room_initialFeeText,room_initialOtherFeeText,building_year,room_layoutText,room_facing,room_area,room_detailText,building_structure,room_parking,room_tatalRooms,room_contract,room_period,room_renewalFeeText,room_otherFeeText,room_guarantyText,room_insuranceText,room_manage,room_state,room_move-in,room_lifullID,room_trans,room_begin,room_update,room_url
17.5万円,"12,000円",無/無,-/-,2022年6月(築2年),1LDK,北東,40.21㎡,角部屋、ペット相談、ガスコンロ設置済、コンロ三口、システムキッチン、カウンターキッチン、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、インターネット対応、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、宅配ボックス、バイク置き場あり、駐輪場あり、住まい探し特典あり,RC(鉄筋コンクリート),空無,49戸,-,2年間,"175,000円",-,加入要保証会社利用料：　月額総賃料の30％、更新料10，000円／年　口座振替手数料：330円（税込）／月　毎月27日に口座振替でのお支払い,要,-,-,相談,3701090-0311593,仲介,2024/03/10,2024/03/20,https://www.homes.co.jp/chintai/room/1c0e746e2c42890041a04b19cf4f32674de21a1f/
7.8万円,"15,000円",無/1ヶ月,-/-,2002年4月(築22年),"1K ( 洋室 6帖
キッチン 2帖 )",南西,21.32㎡,角部屋、保証人不要、ガスコンロ設置済、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、全居室収納、クローゼット、シューズボックス、CATV、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、照明器具付き、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、駐輪場あり、初期費用カード決済可、分譲賃貸、住まい探し特典あり、駐輪代1000円(月額)　契約金のお見積もりや室内写真のご希望など、ご質問・ご要望はお気軽にお問い合わせください。【初期費用の分割・クレジットカード決済可能です】,SRC(鉄骨鉄筋コンクリート),-,-,-,2年間,新賃料の1.5ヶ月分,"鍵交換費用：22,000円、室内清掃費用：49,500円、24時間サポート：16,500円",加入要保証会社利用料：　総賃料の50％～,要,-,居住中,2024年04月 下旬,0147662-0018993,仲介,2024/03/14,2024/03/18,https://www.homes.co.jp/chintai/room/557900cef1de26ea7ed746f16af3260f85945a5c/
16.4万円,"15,000円",1ヶ月/1ヶ月,-/-,2015年3月(築10年),1LDK,南東,42.38㎡,角部屋、楽器相談可、ペット可、ガスコンロ設置済、コンロ三口、システムキッチン、給湯、専用トイレ、バス・トイレ別、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、エアコン、クローゼット、シューズボックス、CS対応、BS対応、インターネット使用料無料、フローリング、バルコニー、室内洗濯機置場、タイル貼り、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、デザイナーズ、住まい探し特典あり,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1.5ヶ月分,"おへやサポート（税込・必須）：16,500円、鍵交換費用（税込・必須）：33,000円",加入要保証会社利用料：　（1）月額保証料：家賃（賃料＋管理費）の1％（2）初回保証料：家賃の80％（3）手数料：月550円（税込）,要,-,-,2024年05月,3701219-0089287,仲介,2024/03/06,2024/03/20,https://www.homes.co.jp/chintai/room/a1a24ae4f5ccc415d2905b31d666b271560eac0a/
8万円,"12,000円",無/1ヶ月,-/-,2002年11月(築22年),1K ( 洋室 8帖 ),南西,24.15㎡,家賃保証付き、保証人不要、ガスコンロ設置済、コンロ一口、専用バス、専用トイレ、バス・トイレ別、温水洗浄便座、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、CATV、CS対応、BS対応、インターネット対応、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、宅配ボックス、駐輪場あり、初期費用カード決済可、分譲賃貸、住まい探し特典あり、グランヴァン目白台は文京区関口に所在し、東西線の早稲田駅から徒歩9分の賃貸物件です。大学に近いので学生にはオススメの物件です。,RC(鉄筋コンクリート),無,27戸,-,2年間,新賃料の1ヶ月分,-,不要,要,管理員：巡回,居住中,相談,0138199-0019799,仲介,2024/03/11,2024/03/20,https://www.homes.co.jp/chintai/room/dea708962a59b23e1e30e40b3c88693501d8589c/
17.1万円,"12,000円",無/無,-/-,2022年7月(築2年),"1LDK ( 洋室 6帖
リビングダイニングキッチン 10.6帖 )",北東,40.21㎡,ペット相談、保証人不要、即入居可、ガスコンロ設置済、コンロ三口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、シューズインクローゼット、CS対応、BS対応、光ファイバー、インターネット使用料無料、都市ガス、フローリング、バルコニー、室内洗濯機置場、全室フローリング、ごみ出し24時間OK、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、豊島区・文京区・板橋区・北区でのお部屋探しはタウンハウジング駒込店にお任せください。TEL03-3945-1881★短期違約金有★,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：41,800円、バイク置場料金/月：3,300円",加入要保証会社：その他保証会社利用料：0.30ヶ月 初回総賃料30％　年10、000円,要,-,空家,即時,0147374-0024932,仲介,2024/03/11,2024/03/20,https://www.homes.co.jp/chintai/room/36051a032e533e2af923102a7b446e3318f4ec81/
17.5万円,"12,000円",無/無,-/-,2022年6月(築2年),"1LDK ( 洋室 6帖
リビングダイニングキッチン 10.6帖 )",北東,40.21㎡,角部屋、二人入居可、ペット可、家賃保証付き、保証人不要、ガスコンロ設置済、コンロ三口、システムキッチン、カウンターキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、シューズインクローゼット、CS対応、BS対応、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、宅配ボックス、耐震構造、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、S-RESIDENCE駒込六義園は東京都文京区本駒込5丁目に所在し、東京メトロ南北線の駒込駅が利用できる賃貸物件です。ペット相談可能です。当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。ペット：小型犬1匹or猫1匹違約金有：1年以内解約には賃料・共益費の1ヵ月分相当,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,-,加入要保証会社利用料：初回：月額総賃料の30％更新料：10000円／年口座振替手数料：330円／月,要,-,空家,相談（詳細はお問い合わせください。）,0140535-0021670,仲介,2024/01/06,2024/03/20,https://www.homes.co.jp/chintai/room/7cb33fadb2be8dc9584b62538d42739b918f5ba7/
8.3万円,"6,000円",1ヶ月/1ヶ月,-/-,2007年7月(築17年),1K ( 洋室 6.1帖 ),南西,20.54㎡,ペット相談、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、全居室収納、クローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、公営水道、都市ガス、フローリング、バルコニー、室内洗濯機置場、タイル貼り、エレベーター、宅配ボックス、駐輪場あり、初期費用カード決済可、分譲賃貸、住まい探し特典あり,RC(鉄筋コンクリート),"近隣 43,200円(税込) 物件からの距離240m",-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：16,000円",加入要保証会社：日本セーフティー保証会社利用料：50％／初回保証料　月額総賃料の50％　1年毎1万円,要,管理員：巡回,居住中,2024年04月 中旬,0147374-0028471,仲介,2024/03/06,2024/03/20,https://www.homes.co.jp/chintai/room/d7b97e44695f9e01da49ddce71fcc57742323ffe/
7.5万円,"15,000円",無/1ヶ月,-/-,2007年7月(築17年),1K ( 洋室 7.6帖 ),北,23.4㎡,角部屋、ペット相談、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、浴室乾燥機、浴室暖房、オートロック、防犯カメラ、TVモニタ付インターホン、ディンプルキー、エアコン、クローゼット、シューズボックス、CATV、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、ルーフバルコニー、タイル貼り、エレベーター、宅配ボックス、初期費用カード決済可、※短期解約違約金有,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：27,500円、室内清掃費用：60,000円、エアコン洗浄：16,500円、24時間サポート：16,500円",加入要保証会社：その他保証会社利用料：0.50ヶ月 初回50％　年次1万円,要,-,居住中,2024年05月 下旬,0147374-0028670,仲介,2024/03/12,2024/03/20,https://www.homes.co.jp/chintai/room/741688bf372a2bf60d9761890b5196efa74b9916/
15.1万円,"5,000円",1ヶ月/1ヶ月,-/-,2012年12月(築12年),"1LDK ( 洋室 5帖
リビングダイニングキッチン 10.5帖 )",南,52.08㎡,二人入居可、家賃保証付き、保証人不要、IHコンロ、コンロ二口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、洗面所独立、オートバス、オートロック、TVモニタ付インターホン、エアコン、ウォークインクローゼット、クローゼット、シューズボックス、公営水道、都市ガス、下水、メゾネット、フローリング、バルコニー、室内洗濯機置場、南面バルコニー、初期費用カード決済可、デザイナーズ、住まい探し特典あり、デュプレクス白山は東京都文京区白山1丁目に所在し、東京メトロ南北線の東大前駅が利用できる賃貸物件です。メゾネットタイプのお部屋です。ウォークインクローゼット付きで収納スペースに大活躍です。当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。違約金有：1年未満解約時賃料1か月分,RC(鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円",加入要保証会社利用料：初回：月額総家賃の50％～,要,-,空家,相談（詳細はお問い合わせください。）,0144552-0010296,仲介,2024/02/02,2024/03/20,https://www.homes.co.jp/chintai/room/9605407e8b12173d5811844b3e5cd93cf968ac87/
11.2万円,"6,000円",0.5ヶ月/1.5ヶ月,-/-,2003年3月(築22年),ワンルーム ( 洋室 10.4帖 ),西,31.15㎡,高齢者歓迎、家賃保証付き、保証人不要、IHコンロ、コンロ三口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、CATV、インターネット使用料無料、公営水道、下水、オール電化、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、宅配ボックス、駐輪場あり、初期費用カード決済可、住まい探し特典あり、Crest本郷は東京都文京区向丘2丁目に所在し、東京メトロ南北線の東大前駅が利用できる賃貸物件です。ネット無料のお掃除が楽なIHコンロで火を使わないキッチンが備わっております。当店であれば初期費用をクレジットカードで決済可能です。（条件付）遠方の方やご来店が難しい方はリモートにてお部屋のご紹介や内見も可能です。,SRC(鉄骨鉄筋コンクリート),無,41戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：29,700円、保険料（月額）：800円",加入要保証会社：JACCS保証会社利用料：初回保証料1万円（審査によっては別途保証会社に加入していただく可能性があります。）,要,-,空家,2024年03月 下旬,0144552-0010443,仲介,2024/02/14,2024/03/20,https://www.homes.co.jp/chintai/room/0f7ff411a419f787eccb0a393947d29d1a2c4bc6/
