room_price,room_commonFee,room_initialFeeText,room_initialOtherFeeText,building_year,room_layoutText,room_facing,room_area,room_detailText,building_structure,room_parking,room_tatalRooms,room_contract,room_period,room_renewalFeeText,room_otherFeeText,room_guarantyText,room_insuranceText,room_manage,room_state,room_move-in,room_lifullID,room_trans,room_begin,room_update,room_url
13.1万円,"15,000円",1ヶ月/無,-/-,2022年3月(築3年),"1DK ( ダイニングキッチン 7.3帖
洋室 2.2帖 )",西,25㎡,ペット相談、保証人不要、ガスコンロ設置済、コンロ二口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、TV付浴室、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、床暖房、ウォークインクローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、当物件は■仲介手数料【0円】でご紹介いたします。■「高級賃貸」に精通した専門スタッフがご対応いたします。■現地、又は最寄り駅「お待合わせ」にてご案内いたします。■初期費用（全額、又は一部）の分割払いを、喜んでお受けいたします。■ペット飼育時、敷金積み増し1ヶ月/口座振替手数料 月額110円/ルームクリーニング費用（退去時）41800円/短期解約時、違約金が発生する場合がございます。,RC(鉄筋コンクリート),無,51戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円",加入要保証会社：貸主指定会社保証会社利用料：月額賃料等の50％（初回保証料）2年目以降は1万円/年（更新料）,要,管理員：巡回,居住中,2024年05月 上旬,0144517-0040341,仲介,2024/03/10,2024/03/17,https://www.homes.co.jp/chintai/room/46a2a2e0d376006164f355e0e676350e1f167a6b/
13.1万円,"15,000円",1ヶ月/無,-/-,2022年3月(築3年),"1K ( ダイニングキッチン 7.3帖
洋室 2.2帖 )",西,25㎡,ペット相談、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、TV付浴室、オートロック、TVモニタ付インターホン、エアコン、床暖房、ウォークインクローゼット、クローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、インターネット使用料無料、公営水道、都市ガス、下水、バルコニー、室内洗濯機置場、エレベーター、宅配ボックス、駐輪場あり、住まい探し特典あり、口座振替事務手数料110円(月額)　セキュリティ面は、TVインターホン・オートロックなど充実しているので、防犯対策もばっちりです。荷物が受け取れないときに一時的に保管できる宅配ボックスは、一人暮らしの方や在宅勤務の方向きの設備です。室内設備は浴室乾燥機・洗面化粧台などが揃っているので、快適に過ごしやすいお部屋になります。収納はウォークインクロゼット・シューズボックスなどが備え付けられているので、衣類や日,RC(鉄筋コンクリート),-,-,-,2年間,-,"鍵交換費用：22,000円、室内清掃費用：41,800円",加入要保証会社利用料：　初回保証委託料（最低15，000円）：月額賃料等の50％、2年目以降：10，000円／年,要,-,居住中,2024年05月 上旬,0148963-0047858,仲介,2024/03/08,2024/03/21,https://www.homes.co.jp/chintai/room/76b5a828918a30e2aa9798f0aee38734198ccb8f/
21.3万円,"20,000円",1ヶ月/無,-/-,2022年3月(築3年),"2LDK ( リビングダイニングキッチン 10帖
洋室 4.3帖
洋室 3帖 )",東,40.07㎡,ペット相談、保証人不要、即入居可、ガスコンロ設置済、コンロ三口、システムキッチン、専用バス、専用トイレ、バス・トイレ別、追焚機能、温水洗浄便座、浴室乾燥機、洗面所独立、TV付浴室、オートバス、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、床暖房、クローゼット、シューズボックス、CS対応、BS対応、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、エレベーター、ごみ出し24時間OK、宅配ボックス、バイク置き場あり、駐輪場あり、初期費用カード決済可、住まい探し特典あり、当物件は■仲介手数料【0円】でご紹介いたします。■「高級賃貸」に精通した専門スタッフがご対応いたします。■現地、又は最寄り駅「お待合わせ」にてご案内いたします。■初期費用（全額、又は一部）の分割払いを、喜んでお受けいたします。■ペット飼育時、敷金積み増し1ヶ月/口座振替手数料 月額110円/ルームクリーニング費用（退去時）52892円/短期解約時、違約金が発生する場合がございます。,RC(鉄筋コンクリート),無,51戸,-,2年間,新賃料の1ヶ月分,"鍵交換費用：22,000円",加入要保証会社：貸主指定会社保証会社利用料：月額賃料等の50％（初回保証料）2年目以降は1万円/年（更新料）,要,管理員：巡回,空家,即時,0144517-0040666,仲介,2024/03/14,2024/03/20,https://www.homes.co.jp/chintai/room/31c0d6c5ede01dc5f96b5e0ee44457ea79e5c7a0/
7.2万円,"3,000円",1ヶ月/無,-/-,2001年1月(築24年),"1K ( キッチン 3.3帖
洋室 6帖 )",南西,21.99㎡,角部屋、楽器不可、単身者限定、ペット不可、保証人不要、ガスコンロ設置済、コンロ一口、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、温水洗浄便座、エアコン、クローゼット、シューズボックス、CATV、BS対応、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、室内洗濯物干し、耐震構造、駐輪場あり、初期費用カード決済可、住まい探し特典あり、当社では旭化成ヘーベルメゾンを中心に、セキスイハイム・大和ハウス・パナホームなど各ハウスメーカーのキレイなお部屋を多数取り扱っております。新築・築浅物件などもございますので、お問い合わせ・諸条件のご相談などお気軽にどうぞ。,ALC造,無,6戸,-,2年間,新賃料の1ヶ月分,"仲介手数料：79,200円、鍵交換費用：22,000円、クリーニング費用（退去時）：44,000円、MyConcierClub2年分：15,000円",加入要保証会社：旭化成不動産サポート保証会社利用料：初回保証料：家賃等の50％　継続保証料：2年ごとに2万円,要,-,居住中,2024年05月 上旬,0106103-0027332,一般媒介,2024/03/11,2024/03/19,https://www.homes.co.jp/chintai/room/14df9d9e9d96629be3dd7f51f9c4f313be70687b/
12.8万円,"10,000円",無/12.8万円,-/-,2004年3月(築21年),1DK,北西,32.41㎡,二人入居可、ペット可、保証人不要、即入居可、ガスコンロ設置済、コンロ二口、システムキッチン、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、ウォークインクローゼット、シューズボックス、CS対応、BS対応、光ファイバー、都市ガス、フローリング、バルコニー、室内洗濯機置場、エレベーター、宅配ボックス、住まい探し特典あり、ティーズサポート24：8800円　♪当店は口コミ評価☆4以上の店舗です。お気軽にお問合せください！♪【グーグル口コミページ：https://goo.su/twn4】,RC(鉄筋コンクリート),無,-,-,2年間,-,"仲介手数料：70,400円、契約事務手数料：11,000円、鍵交換料：27,500円、消臭抗菌代：8,800円",加入要保証会社：管理会社指定保証会社利用料：家賃保証会社 初回保証料50％,要,-,空家,即時,0125509-0011865,仲介,2023/12/26,2024/03/20,https://www.homes.co.jp/chintai/room/2b6760f818e1977dc087ce9bc686306ae4dafd6d/
10.5万円,"15,000円",1ヶ月/1ヶ月,-/-,1998年3月(築27年),1DK,北,36.87㎡,システムキッチン、専用バス、専用トイレ、バス・トイレ別、シャワー付洗面化粧台、オートロック、エアコン、クローゼット、シューズボックス、公営水道、下水、室内洗濯機置場、エレベーター、宅配ボックス、分譲賃貸、住まい探し特典あり,SRC(鉄骨鉄筋コンクリート),無,-,-,2年間,新賃料の1ヶ月分,"鍵交換費用：17,600円、入居者サポート料：18,700円",加入要保証会社利用料：【お問い合わせください】,要,-,居住中,相談（3月28日退去予定）,0104118-0202656,仲介,2024/02/27,2024/03/17,https://www.homes.co.jp/chintai/room/062070ddd0a4a07ff4f1401bfc8f0ab81dff6b3c/
6.3万円,-,1ヶ月/1ヶ月,-/-,2004年9月(築20年),"ワンルーム ( 洋室 6帖
その他 4.7帖 )",南,15㎡,保証人不要、即入居可、IHコンロ、コンロ一口、給湯、専用バス、専用トイレ、シャワー、エアコン、光ファイバー、公営水道、都市ガス、下水、フローリング、ロフト付き、室内洗濯機置場、照明器具付き、室内洗濯物干し、駐輪場あり、初期費用カード決済可、住まい探し特典あり、当物件は初期費用分割払い可（クレジットカード決済も可）/お客様のご希望に合わせた方法（店頭、オンライン等）で物件をご提案いたします。初期費用のお見積りや入居希望日のご相談もお気軽にお問い合わせください/室内清掃費用借主負担（退去時）/駐輪場代借主負担（使用時）,木造,"近隣 30,000円(税込) 物件からの距離212m",-,-,2年間,-,-,加入要保証会社：貸主指定会社保証会社利用料：月額賃料等の50％（初回保証料）、2年目以降は1万円/年,要,-,空家,即時,0150983-0007079,仲介,2024/02/29,2024/03/20,https://www.homes.co.jp/chintai/room/73c0a44841362a99f2f4fae2723b0a204ccb12cb/
13.5万円,"3,000円",1ヶ月/1ヶ月,-/-,2006年5月(築18年),"1LDK ( リビングダイニングキッチン 10.5帖
洋室 7.3帖 )",北,46.58㎡,角部屋、楽器不可、二人入居可、ペット不可、保証人不要、即入居可、ガスコンロ設置済、コンロ二口、システムキッチン、カウンターキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、シャワー付洗面化粧台、温水洗浄便座、浴室乾燥機、洗面所独立、浴室暖房、TVモニタ付インターホン、エアコン、クローゼット、シューズボックス、CATV、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、24時間換気システム、室内洗濯物干し、全室フローリング、初期費用カード決済可、住まい探し特典あり、★弊社は地元の不動産業者さんやハウスメーカーさんよりいろいろな物件情報を共有しています！インターネットで他の気になるお部屋がございましたらURLや詳細を教えて下さいませ！最新の空室状況を確認して、一緒にご案内致します！お問い合わせ・諸条件のご相談などお気軽にどうぞ。,軽量鉄骨造,無,3戸,-,2年間,新賃料の1ヶ月分,"仲介手数料：148,500円、鍵交換費用：25,300円、クリーニング費用（退去時）：55,000円、ハイム’ｓ ＣＬＵＢ2年分：16,500円、消臭・除菌代：16,500円",加入要保証会社：セキスイユニディア保証会社利用料：保証料：初回月額賃料等の50％／1年毎に5，000円,要,-,空家,即時,0131820-0018732,一般媒介★,2024/03/01,2024/03/20,https://www.homes.co.jp/chintai/room/ca0b44f4112a2709aa982d3191c7018f985e7983/
14.7万円,"10,000円",1ヶ月/1ヶ月,-/-,2005年8月(築19年),"1LDK ( リビングダイニングキッチン 9.5帖
洋室 6帖 )",南東,39.85㎡,角部屋、二人入居可、即入居可、ガスコンロ設置済、コンロ三口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、追焚機能、シャワー、温水洗浄便座、浴室乾燥機、洗面所独立、オートロック、防犯カメラ、TVモニタ付インターホン、エアコン、床暖房、ウォークインクローゼット、クローゼット、シューズボックス、CATV、CS対応、BS対応、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、全室フローリング、エレベーター、宅配ボックス、駐輪場あり、分譲賃貸、お部屋の詳細はどんなことでもお問い合わせください！,SRC(鉄骨鉄筋コンクリート),無,43戸,-,2年間,新賃料の1ヶ月分,-,加入要保証会社：その他保証会社利用料：レジデンシャルパートナーズ　保証料：賃料等の50％(最低2万)、月額保証・事務手数料：賃料等の1％(更新料無),要,-,空家,即時,0005010-0531484,仲介,2024/03/10,2024/03/20,https://www.homes.co.jp/chintai/room/13a7134b3275e9c44e51b43b360e2fa5ddca9ad1/
13万円,"9,000円",1ヶ月/1ヶ月,-/-,1997年9月(築27年),"1LDK ( リビングダイニングキッチン 8帖
洋室 9帖 )",東,37.48㎡,角部屋、楽器不可、二人入居可、ペット不可、保証人不要、即入居可、ガスコンロ設置済、コンロ二口、システムキッチン、給湯、専用バス、専用トイレ、バス・トイレ別、シャワー、洗面所独立、オートロック、クローゼット、シューズボックス、光ファイバー、公営水道、都市ガス、下水、フローリング、バルコニー、室内洗濯機置場、全室フローリング、タイル貼り、エレベーター、初期費用カード決済可、全室2面採光、住まい探し特典あり、当物件の入居希望日を延ばしたいと思っている方は是非一度ご相談下さい/契約金のお見積りやインターネットに掲載していない写真も、ご要望の際はお気軽にご連絡下さい/安心入居サポート 2年間16500円/室内清掃費用借主負担（退去時）,RC(鉄筋コンクリート),"近隣 40,000円(税込) 物件からの距離58m",-,-,2年間,-,-,加入要保証会社：全保連保証会社利用料：月額賃料等の50％（初回保証料）2年目以降は1万円/年（更新料）,要,-,空家,即時,0121804-0076294,仲介,2023/12/23,2024/03/20,https://www.homes.co.jp/chintai/room/60c961837fcc0b4560fe990cdaace6d9e00bddc5/
